Song_Name,Artist,Duration,Duration_Seconds,Genres,Genre
Fallin’ Out,Keyshia Cole,3:58,238,R&B / Pop,R&B
"Nocturne in E-flat Major, Op. 9 No. 2",Chopin,4:30,270,Classical,Classical
Beautiful,Eminem,6:32,392,Hip Hop,HipHop
FOCUS,Hearts2Hearts,2:57,177,K-Pop,Pop
From Now On,Hugh Jackman,5:49,349,Pop,Pop
In Bloom,Wisp X,2:45,165,Electronic Instrumental,Other
Flatline,Justin Bieber,3:40,220,Hip Hop,HipHop
Pareshaniyan, Shreya Jain,3:58,238,Rock,Rock
7pm,BSS,3:12,192,K-Pop,Pop
Starboy,The Weeknd,3:50,230,R&B / Pop,R&B
My Love Mine All Mine,Mitski,2:17,137,Indie Pop,Indie
Redrum,21 Savage,4:30,270,Hip Hop / Rap,HipHop
Not You Too,Drake & Chris Brown,4:29,269,R&B / Hip Hop,R&B
Dream Sweet in Sea Major,Miracle Musical,7:01,421,Experimental Pop,Pop
Stolen Dance,Milky Chance,5:13,313,Indie Pop,Indie
Wonderful U,AGA,4:08,248,Pop,Pop
The Nights,Avicii,2:56,176,EDM / Electronic Dance Music,Other
Bubble (??),G.E.M.,4:12,252,Pop / Ballad,Pop
Rainie Luv,Rainie Yang,4:22,262,Pop,Pop
Eternity,Alex Warren,3:25,205,Pop / Indie-Pop,Pop
Feel Good Inc,Gorillaz,3:42,222,Hip-Hop / Electronic,Other
Sunset,Lucki,2:05,125,Trap / Hip-Hop,HipHop
Episode 33,She Her Her Hers,4:17,257,Alternative,Other
Moth to a Flame,The Weeknd,3:54,234,Electronic / Synth-pop,Other
Suffocation,Crystal Castles,4:02,242,Electronic / Synthpop,Other
Like a Tattoo,Sade,3:37,217,R&B,R&B
Flower Dance,DJ Okawari,4:25,265,Neo-classical crossover,Classical
Airport Bar,goodboy noah,3:52,232,Indie Folk,Indie
Ocean of Flowers,Skygasm,4:24,264,Pop / Rock,Pop
Am I Dreaming,Metro Boomin et al.,4:16,256,Hip-Hop / Soundtrack / Rap,HipHop
A Letter From Spring,Youzee Music,2:35,155,Electronic / Lo-fi,Other
7 Years,Lukas Graham,3:57,237,Pop,Pop
Good Goodbye,HWASA,3:42,222,Pop,Pop
’06 Wayne Rooney,Jim Legxacy,2:40,160,Electronic / Rock,Other
